Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,=>,Rv[0],Rv[1],Rv[2],Rv[3]
-0.706289,0.4944023,9.482229,-0.39999998,-30.6,-43.8,-0.0074494,-0.0021284,-0.015963,,0.03759216,-0.01938968,-0.9971795,0.06199996
-0.7314281,0.5075704,9.509763,-0.39999998,-30.6,-43.8,-0.0085136,-0.0021284,-0.015963,,0.037577964,-0.019323893,-0.9971924,0.06182092
-0.7194571,0.4991907,9.490609,-0.39999998,-30.6,-43.8,-0.005321,-0.0010642,-0.0138346,,0.037565343,-0.019264048,-0.99720305,0.06167657
-0.7086832,0.5099646,9.481032,0.79999995,-29.4,-44.4,-0.0063852,-0.0021284,-0.0148988,,0.037561398,-0.019236136,-0.9972117,0.061548073
-0.7314281,0.5063733,9.496594,0.79999995,-29.4,-44.4,-0.005321,-0.0021284,-0.0148988,,0.037552435,-0.019197263,-0.9972219,0.0613996
-0.7254426,0.4955994,9.476244,-1.6,-31.2,-43.2,-0.0063852,-0.0010642,-0.0138346,,0.037538312,-0.019154394,-0.99723434,0.061219018
-0.7170629,0.5303153,9.490609,-1.6,-31.2,-43.2,-0.0042568,-0.0021284,-0.015963,,0.037536692,-0.019122615,-0.9972422,0.061101064
-0.7098803,0.5291182,9.483426,-0.39999998,-30.6,-45.0,-0.0074494,-0.0021284,-0.015963,,0.03752419,-0.019109927,-0.9972518,0.06095713
-0.7038948,0.5315124,9.479835,-0.39999998,-30.6,-45.0,-0.0063852,-0.0031926,-0.0148988,,0.037508707,-0.019069396,-0.9972622,0.060808644
-0.7134716,0.502782,9.500186,-0.39999998,-30.0,-43.8,-0.0063852,-0.0031926,-0.0138346,,0.03748579,-0.019033156,-0.9972721,0.06067135
-0.7038948,0.4944023,9.515748,-0.39999998,-30.0,-43.8,-0.0063852,-0.0042568,-0.015963,,0.03745242,-0.018980946,-0.99728394,0.06051369
-0.7290339,0.5171472,9.503777,-0.39999998,-30.0,-43.8,-0.0074494,-0.0021284,-0.015963,,0.037424985,-0.01895029,-0.99729437,0.06036691
-0.7242455,0.5219356,9.473849,-0.39999998,-29.4,-45.0,-0.0074494,-0.0042568,-0.0170272,,0.03741639,-0.018910037,-0.9973044,0.060219765
